Registrant Name,2011,2012,2013,2014,2015,2016,2017,2018,Total 2015-2018,Total
KSE Partners,566642.81,974709.15,1004830.13,858700.72,1258085.32,1029667.63,217088.02,0,2504840.97,5909723.78
"MMR, LLC",0,0,0,666969.28,1208670.88,1207343.94,1349934.13,1455168.48,5221117.43,5888086.71
Necrason Group,0,0,0,479066.98,1265356.83,1017704.64,1129753.31,1156216.29,4569031.07,5048098.05
Downs Rachlin Martin,209112,584802,418878,323404,420830,771168,780628,754422,2727048,4263244
"Morris & DeMag, Inc.",241889.14,569027.19,497613.04,476843.96,563060.24,497288.2,368204.96,464099.96,1892653.36,3678026.69
Sirotkin & Necrason,392984,902954,963613,402011,0,0,0,0,0,2661562
Primmer Piper Eggleston & Cramer PC,203629.3,232656.81,260113.4,279881.56,317965.26,367940.67,290067,256342,1232314.93,2208596
William Shouldice & Associates LLC,201150,237050,171150,144450,196450,257276,210150,246250,910126,1663926
MacLean Meehan & Rice LLC,612450.6,423476.79,390789.05,0,0,0,0,0,0,1426716.44
"Leonine Public Affairs, LLP",0,0,0,0,0,0,631311.97,972668.77,1603980.74,1603980.74
Ellis Mills Public Affairs,0,0,0,32000,323553.5,250000,258376.26,192483.44,1024413.2,1056413.2
Action Circles,0,0,0,0,148222.4,183874.5,197375,197125,726596.9,726596.9
Zatz & Renfrew Consulting,71919,94750,111188,70750,83750,77000,65250,77375,303375,651982
Otis & Kennedy,0,143109,127440,89075,60750,74312.5,57650,61050,253762.5,613386.5
"Mickenberg, Dunn, Lachs & Smith",50497.5,68831.5,95804.25,96046,59465,47500,75333.3,87666.66,269964.96,581144.21
"JB Kennedy Associates, LLC",97013,132788,129117,112837,40916,0,0,0,40916,512671
John D. Shullenberger,429439.03,57968,0,0,0,0,0,0,0,487407.03
Steve Mcleod,27557.5,31196,67675.02,81525,76000,96352.5,6000,0,178352.5,386306.02
"Morris L. Silver, Esq.",311170,0,0,0,0,0,0,0,0,311170
Capital Connections LLC,89687.48,58687.49,31124.99,46624.99,22650,13500,16750,0,52900,279024.95
Miller & Smith,119782.48,29717.5,99540,0,0,0,0,0,0,249039.98
FJS Consulting,0,0,0,0,0,0,114300,135100,249400,249400
Dewey Square Group,40000,90000,40000,0,0,0,0,0,0,170000
"Orrick, Herrington & Sutcliffe LLP",0,0,0,16200,0,0,30000,72000,102000,118200
Serlin Haley LLP,0,3300,0,30300,32950,23700,3000,1300,60950,94550
"Otis & Brooks, PC",90590,0,0,0,0,0,0,0,0,90590
Diamond & Robinson PC,20470,22598.81,0,5120,0,37500,0,0,37500,85688.81
Keller & Fuller,84772.75,235.7,0,0,0,0,0,0,0,85008.45
Cleveland Vitzthum Consulting,0,0,0,19000,36000,10000,0,0,46000,65000
LMD Capitol Strategies LLC,0,0,0,0,26110,18554,17325,3000,64989,64989
MainStreet Advocates,0,0,44300,14400,5400,0,0,0,5400,64100
Dutko Worldwide,54850,0,0,0,0,0,0,0,0,54850
Dunkiel Saunders Elliott Raubvogel & Hand PLLC,2140.99,0,0,0,9679.5,15796.1,10211.42,225,35912.02,38053.01
"White Burke Real Estate Investment Advisors, Inc.",0,0,0,0,0,0,37403.05,0,37403.05,37403.05
Broadreach Public Relations,0,0,0,0,15000,20000,0,0,35000,35000
Gravel & Shea PC,0,0,0,0,0,0,0,35786.26,35786.26,35786.26
Pyle & Associates,28435,0,0,0,725,0,0,0,725,29160
"Kimbell Sherman Ellis, LLP",27692,0,0,0,0,0,0,0,0,27692
North Public Affairs,0,0,0,17250,0,0,0,0,0,17250
Manatt Phelps & Phillips LLP,0,0,0,0,9579.44,7294.85,0,0,16874.29,16874.29
Sheehan Phinney Capitol Group,0,0,0,3000,6000,0,0,0,6000,9000
"Legal Counselors & Advocates, PLC",0,0,0,0,0,7000,0,0,7000,7000
Change Corps,0,0,0,0,6500,0,0,0,6500,6500
bmgzstrategies,0,0,0,0,0,0,0,4800,4800,4800
360 Consulting LLC,0,0,0,0,0,0,0,3937.5,3937.5,3937.5
Johnston Consulting,3330.33,0,0,0,0,0,0,0,0,3330.33
Rasky Baerlein Strategic Communications,0,2000,0,0,0,0,0,0,0,2000
"Valsangiacomo, Detora & McQuesten, PC",0,0,0,0,0,0,0,0,0,0
Dennehy & Bouley LLC,0,0,0,0,0,0,0,0,0,0
D.L. Brush Consulting,0,0,0,0,0,0,0,0,0,0
"Capital Connections, LLC",0,0,0,0,0,0,0,18500,18500,18500
FGR,0,0,0,0,0,0,0,2250,2250,2250