Sector,2011,2012,2013,2014,2015,2016,2017,2018,Total 2015-18,Total
Accessibility,19707.96,19512.29,16526.67,42244.01,41096.23,22712.2,12520.42,7437.75,83766.6,181757.53
Agriculture ,58160.57,84035.22,59118.39,33198.24,103475.82,156296.15,162433.94,149120.34,571326.25,805838.67
Alcohol,115867.17,123652.18,142227.84,162982.57,185401.14,165900.55,152663.71,194175.29,698140.69,1242870.45
Arts,19604,15136,13571,8070,8484,21292,12832,3216.49,45824.49,102205.49
Bank/Finance,204746.48,263360.22,269612.26,235347.15,345614.76,307929.11,355427.16,364288.03,1373259.06,2346325.17
Business,470155.86,591668.22,1028366.61,359647.84,1331058.89,485413.68,361246.09,437142.64,2614861.3,5064699.83
Children & Youth,6517.53,22351.57,44573.87,88773.73,134936.18,84558.62,166657.34,134674.99,520827.13,683043.83
Civil/Criminal Justice,109771.15,109730.44,205120.33,167685.37,248091.53,159592.15,213022.55,230932.01,851638.24,1443945.53
Defense Armament,0,0,0,14000,17396,0,0,0,17396,31396
E-commerce,12565,22596.17,30075,15000,18000,0,10729.29,32285.71,61015,141251.17
Education,69848.84,176547.67,108315.02,283182.39,554700.36,470238.55,461469.36,474876.61,1961284.88,2599178.8
Elderly,107316.78,297386.33,213630.05,170652.44,139661.01,165066.04,121675.89,107315.04,533717.98,1322703.58
Energy,1283866.31,920564.06,764614.14,710529.55,915195.51,961368.87,933949.8,932882.38,3743396.56,7422970.62
Environment,257898.88,381927.9,290551.93,311304.82,517206.36,581372.56,498913.58,513457.91,2110950.41,3352633.94
Gaming,0,0,6497,22425,47850.03,106334.8,151158.93,165984,471327.76,500249.76
Government/Public Affairs,404711.19,637241.83,374810.98,554537.62,497698.67,400929.82,388560.59,207949.23,1495138.31,3466439.93
Gun,1518.1,205.15,9011.48,79010.35,259100.2,42360.36,52037.86,233486.03,586984.45,676729.53
Health Care,1423534.02,1595952.12,1565577.45,1372149.63,1828180.48,1792805.95,1544295.27,1914193.4,7079475.1,13036688.32
Housing,51529.73,92746.85,108592.82,96784.53,99862.06,98762.03,125581.31,160696.23,484901.63,834555.56
Insurance,224012.78,262581.03,281868.07,254096.83,257850.55,260087.03,347421.25,305152.13,1170510.96,2193069.67
Labor Unions,262734.21,303712.98,538774.57,519077.82,497044.79,442023.78,411207.14,393940.09,1744215.8,3368515.38
Manufacturing,119374.24,100429.25,130670.27,167623.89,164358.6,308714.5,187207,234449.83,894729.93,1412827.58
Marijuana,11250,37902.56,47283.8,29328.5,37757.88,200720.67,145607.58,104846.79,488932.92,614697.78
Media/Journalism,12625,4106,34222,11264,33698.08,21580,34891.58,24164.47,114334.13,176551.13
Non-alcoholic beverages,59421.45,83894.98,92534.75,117874.52,124795.27,87182.34,87954.5,88438.13,388370.24,742095.94
Pharmaceuticals,300018.07,337466.89,353695.56,352636.35,475015.04,468665.5,454836.73,496172.7,1894689.97,3238506.84
Poverty,60,1380.57,566.83,525.99,955.09,4615.5,1770.91,6275.43,13616.93,16150.32
Real Estate,89200.83,46072.95,104512.84,121100,170097.45,125640.43,155254.33,117075.19,568067.4,928954.02
Retail,93188.63,97189.95,106821.7,88982.84,141006.84,113961.52,97250.05,110555.45,462773.86,848956.98
Ski Industry,35492,8433,25392,57755,69085,82979.4,46985,77809.1,276858.5,403930.5
Telecommunications,291590.15,345407.67,435674.05,473064.95,702135.64,486385.54,550230.99,641938.77,2380690.94,3926427.76
Tobacco,156779.65,115763.97,185766.28,221893.29,225578.81,196720.61,173234.89,213007.59,808541.9,1488745.09
Toys,32126.44,15000,30055,33300,51815,44498.81,26000,36618.95,158932.76,269414.2
Transportation,108398.92,135441.21,127733.25,136692.32,219390.84,265247.79,248433.88,278100,1011172.51,1519438.21
Urban issues,0,1794.84,1069.8,750,1867.35,1783.65,1470.36,700.7,5822.06,9436.7
Veterans,0,0,3400,0,0,0,0,0,0,3400
Veterinarians,6600,5000,5000,4000,8750,7595,8312.5,10062.5,34720,55320